jaar;weeknr;aantal_dgn;voorlopig;totaal_m_v_0_999;totaal_m_0_999;totaal_v_0_999;totaal_m_v_0_65;totaal_m_0_65;totaal_v_0_65;totaal_m_v_65_80;totaal_m_65_80;totaal_v_65_80;totaal_m_v_80_999;totaal_m_80_999;totaal_v_80_999
1999;39;7;0;2458;1214;1244;536;336;200;909;498;411;1013;380;633
1999;40;7;0;2335;1172;1163;479;308;171;845;484;361;1011;380;631
1999;41;7;0;2403;1196;1207;479;297;182;873;506;367;1051;393;658
1999;42;7;0;2631;1316;1315;537;314;223;963;566;397;1131;436;695
1999;43;7;0;2663;1293;1370;497;310;187;942;548;394;1224;435;789
1999;44;7;0;2565;1222;1343;518;324;194;924;517;407;1123;381;742
1999;45;7;0;2583;1248;1335;498;276;222;936;579;357;1149;393;756
1999;46;7;0;2571;1277;1294;523;313;210;938;538;400;1110;426;684
1999;47;7;0;2631;1324;1307;523;319;204;924;551;373;1184;454;730
1999;48;7;0;2618;1263;1355;511;318;193;953;550;403;1154;395;759
1999;49;7;0;2791;1383;1408;536;335;201;958;579;379;1297;469;828
1999;50;7;0;2885;1352;1533;554;342;212;1022;570;452;1309;440;869
1999;51;7;0;2974;1462;1512;519;316;203;1064;628;436;1391;518;873
2000;1;7;0;3564;1697;1867;543;335;208;1071;636;435;1950;726;1224
2000;2;7;0;3438;1629;1809;512;319;193;1109;641;468;1817;669;1148
2000;3;7;0;3307;1586;1721;563;342;221;994;579;415;1750;665;1085
2000;4;7;0;3203;1564;1639;555;337;218;1038;632;406;1610;595;1015
2000;5;7;0;2967;1427;1540;496;293;203;971;573;398;1500;561;939
2000;6;7;0;2835;1360;1475;479;293;186;922;530;392;1434;537;897
2000;7;7;0;2773;1353;1420;481;283;198;960;563;397;1332;507;825
2000;8;7;0;2869;1391;1478;521;310;211;924;561;363;1424;520;904
2000;9;7;0;2673;1335;1338;489;303;186;891;522;369;1293;510;783
2000;10;7;0;2690;1314;1376;495;315;180;894;527;367;1301;472;829
2000;11;7;0;2673;1290;1383;496;299;197;887;522;365;1290;469;821
2000;12;7;0;2533;1263;1270;505;311;194;837;506;331;1191;446;745
2000;13;7;0;2554;1268;1286;511;301;210;851;511;340;1192;456;736
2000;14;7;0;2690;1325;1365;505;317;188;879;525;354;1306;483;823
2000;15;7;0;2687;1405;1282;507;343;164;913;542;371;1267;520;747
2000;16;7;0;2705;1310;1395;501;306;195;882;509;373;1322;495;827
2000;17;7;0;2647;1290;1357;488;317;171;902;528;374;1257;445;812
2000;18;7;0;2554;1249;1305;490;305;185;869;510;359;1195;434;761
2000;19;7;0;2744;1308;1436;530;321;209;909;536;373;1305;451;854
2000;20;7;0;2698;1328;1370;488;295;193;888;512;376;1322;521;801
2000;21;7;0;2455;1217;1238;481;286;195;858;521;337;1116;410;706
2000;22;7;0;2513;1235;1278;472;306;166;864;509;355;1177;420;757
2000;23;7;0;2484;1277;1207;484;308;176;845;517;328;1155;452;703
2000;24;7;0;2452;1212;1240;480;287;193;821;507;314;1151;418;733
2000;25;7;0;2969;1385;1584;598;356;242;955;539;416;1416;490;926
2000;26;7;0;2632;1308;1324;522;333;189;888;536;352;1222;439;783
2000;27;7;0;2572;1237;1335;472;283;189;913;546;367;1187;408;779
2000;28;7;0;2469;1230;1239;535;330;205;870;480;390;1064;420;644
2000;29;7;0;2456;1214;1242;493;301;192;836;504;332;1127;409;718
2000;30;7;0;2505;1247;1258;466;286;180;928;564;364;1111;397;714
2000;31;7;0;2532;1208;1324;541;313;228;828;464;364;1163;431;732
2000;32;7;0;2488;1201;1287;510;320;190;825;468;357;1153;413;740
2000;33;7;0;2539;1260;1279;474;287;187;880;551;329;1185;422;763
2000;34;7;0;2416;1177;1239;503;319;184;812;477;335;1101;381;720
2000;35;7;0;2391;1189;1202;511;307;204;836;499;337;1044;383;661
2000;36;7;0;2506;1219;1287;512;307;205;853;506;347;1141;406;735
2000;37;7;0;2517;1215;1302;522;314;208;844;482;362;1151;419;732
2000;38;7;0;2501;1236;1265;533;331;202;884;509;375;1084;396;688
2000;39;7;0;2479;1183;1296;466;272;194;879;504;375;1134;407;727
2000;40;7;0;2578;1262;1316;540;329;211;892;524;368;1146;409;737
2000;41;7;0;2539;1229;1310;505;284;221;916;535;381;1118;410;708
2000;42;7;0;2571;1247;1324;520;306;214;894;526;368;1157;415;742
2000;43;7;0;2734;1386;1348;560;341;219;973;618;355;1201;427;774
2000;44;7;0;2652;1310;1342;528;323;205;944;556;388;1180;431;749
2000;45;7;0;2572;1294;1278;511;307;204;889;547;342;1172;440;732
2000;46;7;0;2644;1343;1301;529;320;209;918;578;340;1197;445;752
2000;47;7;0;2689;1284;1405;527;318;209;920;523;397;1242;443;799
2000;48;7;0;2773;1332;1441;530;317;213;995;582;413;1248;433;815
2000;49;7;0;2618;1294;1324;468;289;179;959;567;392;1191;438;753
2000;50;7;0;2737;1346;1391;515;308;207;978;582;396;1244;456;788
2000;51;7;0;2855;1412;1443;547;334;213;991;593;398;1317;485;832
2000;52;7;0;2929;1421;1508;533;335;198;1011;584;427;1385;502;883
2001;1;7;0;3051;1436;1615;514;303;211;987;581;406;1550;552;998
2001;2;7;0;2852;1354;1498;518;315;203;889;496;393;1445;543;902
2001;3;7;0;2907;1419;1488;525;320;205;896;524;372;1486;575;911
2001;4;7;0;3031;1410;1621;537;317;220;978;570;408;1516;523;993
2001;5;7;0;2928;1394;1534;512;299;213;977;583;394;1439;512;927
2001;6;7;0;2861;1414;1447;486;294;192;964;569;395;1411;551;860
2001;7;7;0;2761;1359;1402;520;331;189;918;528;390;1323;500;823
2001;8;7;0;2685;1263;1422;475;270;205;892;518;374;1318;475;843
2001;9;7;0;2749;1362;1387;507;304;203;928;587;341;1314;471;843
2001;10;7;0;2896;1388;1508;513;309;204;998;566;432;1385;513;872
2001;11;7;0;2812;1381;1431;519;312;207;968;582;386;1325;487;838
2001;12;7;0;2837;1395;1442;541;329;212;888;528;360;1408;538;870
2001;13;7;0;2774;1400;1374;535;332;203;905;561;344;1334;507;827
2001;14;7;0;2794;1383;1411;507;306;201;937;550;387;1350;527;823
2001;15;7;0;2752;1355;1397;481;274;207;905;555;350;1366;526;840
2001;16;7;0;2590;1284;1306;498;305;193;873;514;359;1219;465;754
2001;17;7;0;2712;1374;1338;526;329;197;908;562;346;1278;483;795
2001;18;7;0;2685;1316;1369;495;291;204;915;556;359;1275;469;806
2001;19;7;0;2739;1370;1369;509;322;187;893;547;346;1337;501;836
2001;20;7;0;2759;1358;1401;542;354;188;902;544;358;1315;460;855
2001;21;7;0;2674;1317;1357;511;305;206;901;541;360;1262;471;791
2001;22;7;0;2722;1328;1394;488;285;203;931;572;359;1303;471;832
2001;23;7;0;2581;1259;1322;475;275;200;880;529;351;1226;455;771
2001;24;7;0;2721;1281;1440;509;305;204;914;544;370;1298;432;866
2001;25;7;0;2585;1283;1302;508;305;203;871;525;346;1206;453;753
2001;26;7;0;2683;1326;1357;483;313;170;913;540;373;1287;473;814
2001;27;7;0;2751;1335;1416;466;291;175;909;543;366;1376;501;875
2001;28;7;0;2475;1170;1305;447;277;170;819;468;351;1209;425;784
2001;29;7;0;2405;1129;1276;473;282;191;774;442;332;1158;405;753
2001;30;7;0;2519;1231;1288;519;324;195;848;496;352;1152;411;741
2001;31;7;0;2438;1255;1183;502;310;192;837;519;318;1099;426;673
2001;32;7;0;2450;1160;1290;507;305;202;808;451;357;1135;404;731
2001;33;7;0;2511;1207;1304;520;320;200;801;459;342;1190;428;762
2001;34;7;0;2648;1227;1421;496;281;215;914;535;379;1238;411;827
2001;35;7;0;2441;1146;1295;476;286;190;795;449;346;1170;411;759
2001;36;7;0;2482;1194;1288;534;326;208;806;452;354;1142;416;726
2001;37;7;0;2403;1149;1254;473;292;181;808;460;348;1122;397;725
2001;38;7;0;2577;1239;1338;538;311;227;880;517;363;1159;411;748
2001;39;7;0;2588;1261;1327;555;343;212;879;492;387;1154;426;728
2001;40;7;0;2607;1281;1326;509;314;195;868;495;373;1230;472;758
2001;41;7;0;2567;1276;1291;479;274;205;926;555;371;1162;447;715
2001;42;7;0;2701;1300;1401;534;320;214;969;554;415;1198;426;772
2001;43;7;0;2568;1299;1269;553;352;201;821;484;337;1194;463;731
2001;44;7;0;2519;1221;1298;507;300;207;837;490;347;1175;431;744
2001;45;7;0;2535;1251;1284;474;293;181;862;494;368;1199;464;735
2001;46;7;0;2674;1329;1345;520;321;199;928;546;382;1226;462;764
2001;47;7;0;2749;1353;1396;549;328;221;963;572;391;1237;453;784
2001;48;7;0;2757;1339;1418;544;346;198;980;569;411;1233;424;809
2001;49;7;0;2768;1383;1385;537;338;199;976;572;404;1255;473;782
2001;50;7;0;2797;1365;1432;551;339;212;968;569;399;1278;457;821
2001;51;7;0;2982;1385;1597;563;327;236;1063;589;474;1356;469;887
2001;52;7;0;2900;1431;1469;532;329;203;944;546;398;1424;556;868
2002;2;7;0;3145;1465;1680;531;326;205;1001;569;432;1613;570;1043
2002;3;7;0;3032;1436;1596;499;284;215;989;541;448;1544;611;933
2002;4;7;0;3079;1491;1588;554;336;218;944;571;373;1581;584;997
2002;5;7;0;2938;1431;1507;524;306;218;913;549;364;1501;576;925
2002;6;7;0;2859;1369;1490;520;287;233;912;561;351;1427;521;906
2002;7;7;0;2778;1340;1438;505;291;214;884;529;355;1389;520;869
2002;8;7;0;2957;1434;1523;523;302;221;930;575;355;1504;557;947
2002;9;7;0;3231;1532;1699;533;310;223;1112;655;457;1586;567;1019
2002;10;7;0;3015;1389;1626;500;287;213;999;559;440;1516;543;973
2002;11;7;0;3088;1496;1592;532;327;205;956;563;393;1600;606;994
2002;12;7;0;2938;1419;1519;555;326;229;917;535;382;1466;558;908
2002;13;7;0;2903;1427;1476;514;315;199;951;560;391;1438;552;886
2002;14;7;0;2795;1367;1428;466;281;185;910;565;345;1419;521;898
2002;15;7;0;2874;1403;1471;557;334;223;972;581;391;1345;488;857
2002;16;7;0;2778;1348;1430;507;310;197;900;545;355;1371;493;878
2002;17;7;0;2780;1392;1388;504;305;199;931;552;379;1345;535;810
2002;18;7;0;2638;1324;1314;511;315;196;862;526;336;1265;483;782
2002;19;7;0;2590;1271;1319;493;310;183;841;488;353;1256;473;783
2002;20;7;0;2620;1303;1317;494;312;182;897;534;363;1229;457;772
2002;21;7;0;2555;1234;1321;481;296;185;866;500;366;1208;438;770
2002;22;7;0;2641;1240;1401;492;312;180;879;521;358;1270;407;863
2002;23;7;0;2658;1327;1331;505;335;170;849;493;356;1304;499;805
2002;24;7;0;2525;1235;1290;469;280;189;883;510;373;1173;445;728
2002;25;7;0;2665;1358;1307;527;323;204;871;529;342;1267;506;761
2002;26;7;0;2556;1227;1329;551;320;231;824;476;348;1181;431;750
2002;27;7;0;2568;1277;1291;498;303;195;873;519;354;1197;455;742
2002;28;7;0;2548;1248;1300;504;306;198;867;524;343;1177;418;759
2002;29;7;0;2500;1231;1269;510;304;206;797;483;314;1193;444;749
2002;30;7;0;2612;1256;1356;513;314;199;855;484;371;1244;458;786
2002;31;7;0;2792;1338;1454;494;321;173;879;504;375;1419;513;906
2002;32;7;0;2461;1212;1249;474;295;179;807;498;309;1180;419;761
2002;33;7;0;2497;1174;1323;530;313;217;762;449;313;1205;412;793
2002;34;7;0;2624;1224;1400;486;282;204;882;499;383;1256;443;813
2002;35;7;0;2362;1152;1210;504;289;215;761;442;319;1097;421;676
2002;36;7;0;2469;1168;1301;495;309;186;832;456;376;1142;403;739
2002;37;7;0;2456;1182;1274;517;312;205;824;480;344;1115;390;725
2002;38;7;0;2372;1137;1235;487;276;211;800;491;309;1085;370;715
2002;39;7;0;2434;1204;1230;487;297;190;839;496;343;1108;411;697
2002;40;7;0;2557;1291;1266;544;333;211;840;505;335;1173;453;720
2002;41;7;0;2518;1276;1242;498;281;217;867;534;333;1153;461;692
2002;42;7;0;2606;1228;1378;490;288;202;878;498;380;1238;442;796
2002;43;7;0;2712;1323;1389;555;342;213;900;498;402;1257;483;774
2002;44;7;0;2681;1254;1427;532;313;219;914;512;402;1235;429;806
2002;45;7;0;2666;1283;1383;537;336;201;883;504;379;1246;443;803
2002;46;7;0;2637;1303;1334;535;324;211;897;526;371;1205;453;752
2002;47;7;0;2720;1312;1408;551;325;226;915;518;397;1254;469;785
2002;48;7;0;2696;1300;1396;552;307;245;888;537;351;1256;456;800
2002;49;7;0;2676;1346;1330;492;309;183;935;566;369;1249;471;778
2002;50;7;0;3011;1467;1544;575;342;233;990;582;408;1446;543;903
2002;51;7;0;3023;1416;1607;550;314;236;984;572;412;1489;530;959
2002;52;7;0;3127;1497;1630;545;309;236;1051;613;438;1531;575;956
2003;2;7;0;2987;1441;1546;531;311;220;928;556;372;1528;574;954
2003;3;7;0;2981;1439;1542;508;322;186;875;509;366;1598;608;990
2003;4;7;0;2963;1398;1565;532;326;206;905;523;382;1526;549;977
2003;5;7;0;2821;1356;1465;477;298;179;902;527;375;1442;531;911
2003;6;7;0;2745;1373;1372;470;266;204;924;576;348;1351;531;820
2003;7;7;0;2736;1319;1417;477;283;194;951;560;391;1308;476;832
2003;8;7;0;2923;1454;1469;510;325;185;933;552;381;1480;577;903
2003;9;7;0;3021;1468;1553;539;336;203;945;542;403;1537;590;947
2003;10;7;0;2991;1465;1526;509;318;191;970;567;403;1512;580;932
2003;11;7;0;2983;1454;1529;549;323;226;935;546;389;1499;585;914
2003;12;7;0;2898;1417;1481;506;299;207;878;511;367;1514;607;907
2003;13;7;0;2914;1422;1492;531;323;208;935;541;394;1448;558;890
2003;14;7;0;2948;1435;1513;552;324;228;940;555;385;1456;556;900
2003;15;7;0;2730;1348;1382;485;278;207;894;534;360;1351;536;815
2003;16;7;0;2924;1450;1474;549;319;230;882;533;349;1493;598;895
2003;17;7;0;2844;1419;1425;560;350;210;886;529;357;1398;540;858
2003;18;7;0;2577;1246;1331;493;302;191;795;457;338;1289;487;802
2003;19;7;0;2554;1211;1343;496;294;202;789;447;342;1269;470;799
2003;20;7;0;2560;1244;1316;462;263;199;801;479;322;1297;502;795
2003;21;7;0;2590;1244;1346;500;289;211;854;491;363;1236;464;772
2003;22;7;0;2610;1252;1358;496;304;192;811;457;354;1303;491;812
2003;23;7;0;2853;1399;1454;551;338;213;881;512;369;1421;549;872
2003;24;7;0;2487;1211;1276;461;291;170;799;488;311;1227;432;795
2003;25;7;0;2464;1193;1271;499;303;196;813;467;346;1152;423;729
2003;26;7;0;2541;1238;1303;551;339;212;767;454;313;1223;445;778
2003;27;7;0;2392;1180;1212;470;284;186;799;492;307;1123;404;719
2003;28;7;0;2436;1200;1236;494;292;202;785;465;320;1157;443;714
2003;29;7;0;2721;1330;1391;509;322;187;902;538;364;1310;470;840
2003;30;7;0;2553;1187;1366;485;282;203;813;474;339;1255;431;824
2003;31;7;0;2556;1248;1308;496;307;189;844;504;340;1216;437;779
2003;32;7;0;2773;1315;1458;518;327;191;859;516;343;1396;472;924
2003;33;7;0;2866;1339;1527;537;319;218;917;521;396;1412;499;913
2003;34;7;0;2496;1167;1329;483;285;198;788;435;353;1225;447;778
2003;35;7;0;2398;1194;1204;494;314;180;790;473;317;1114;407;707
2003;36;7;0;2487;1209;1278;507;295;212;831;484;347;1149;430;719
2003;37;7;0;2457;1200;1257;530;313;217;801;452;349;1126;435;691
2003;38;7;0;2661;1312;1349;551;319;232;850;508;342;1260;485;775
2003;39;7;0;2631;1324;1307;535;333;202;890;547;343;1206;444;762
2003;40;7;0;2531;1283;1248;542;322;220;787;502;285;1202;459;743
2003;41;7;0;2484;1208;1276;518;308;210;812;475;337;1154;425;729
2003;42;7;0;2586;1273;1313;508;302;206;867;499;368;1211;472;739
2003;43;7;0;2599;1270;1329;525;313;212;844;500;344;1230;457;773
2003;44;7;0;2743;1322;1421;506;307;199;863;522;341;1374;493;881
2003;45;7;0;2636;1256;1380;484;290;194;891;501;390;1261;465;796
2003;46;7;0;2581;1284;1297;503;295;208;871;508;363;1207;481;726
2003;47;7;0;2639;1286;1353;520;313;207;868;510;358;1251;463;788
2003;48;7;0;2643;1289;1354;506;327;179;835;491;344;1302;471;831
2003;49;7;0;2636;1285;1351;524;311;213;877;514;363;1235;460;775
2003;50;7;0;2898;1437;1461;580;338;242;950;574;376;1368;525;843
2003;51;7;0;3112;1483;1629;561;314;247;1016;592;424;1535;577;958
2003;52;7;0;3201;1496;1705;535;313;222;1024;583;441;1642;600;1042
2004;2;7;0;3333;1605;1728;508;293;215;1007;593;414;1818;719;1099
2004;3;7;0;3055;1475;1580;508;303;205;918;556;362;1629;616;1013
2004;4;7;0;2921;1336;1585;548;308;240;869;489;380;1504;539;965
2004;5;7;0;2907;1384;1523;496;300;196;916;547;369;1495;537;958
2004;6;7;0;2751;1310;1441;541;324;217;786;446;340;1424;540;884
2004;7;7;0;2692;1375;1317;492;310;182;794;501;293;1406;564;842
2004;8;7;0;2746;1380;1366;521;310;211;849;514;335;1376;556;820
2004;9;7;0;2722;1317;1405;473;273;200;889;550;339;1360;494;866
2004;10;7;0;2720;1355;1365;489;311;178;867;527;340;1364;517;847
2004;11;7;0;2649;1291;1358;475;281;194;825;506;319;1349;504;845
2004;12;7;0;2740;1372;1368;467;287;180;887;547;340;1386;538;848
2004;13;7;0;2639;1336;1303;506;326;180;832;513;319;1301;497;804
2004;14;7;0;2743;1337;1406;502;294;208;875;522;353;1366;521;845
2004;15;7;0;2560;1242;1318;481;270;211;792;471;321;1287;501;786
2004;16;7;0;2648;1270;1378;521;321;200;826;487;339;1301;462;839
2004;17;7;0;2541;1246;1295;485;302;183;803;492;311;1253;452;801
2004;18;7;0;2548;1193;1355;473;285;188;831;474;357;1244;434;810
2004;19;7;0;2455;1207;1248;471;287;184;798;452;346;1186;468;718
2004;20;7;0;2563;1258;1305;475;302;173;826;492;334;1262;464;798
2004;21;7;0;2500;1237;1263;504;303;201;802;488;314;1194;446;748
2004;22;7;0;2509;1189;1320;503;284;219;817;489;328;1189;416;773
2004;23;7;0;2485;1196;1289;466;278;188;782;453;329;1237;465;772
2004;24;7;0;2680;1321;1359;503;304;199;893;530;363;1284;487;797
2004;25;7;0;2403;1155;1248;433;258;175;785;473;312;1185;424;761
2004;26;7;0;2442;1148;1294;500;291;209;800;480;320;1142;377;765
2004;27;7;0;2454;1210;1244;478;280;198;811;476;335;1165;454;711
2004;28;7;0;2493;1187;1306;498;305;193;799;470;329;1196;412;784
2004;29;7;0;2399;1167;1232;491;310;181;769;430;339;1139;427;712
2004;30;7;0;2372;1143;1229;478;285;193;750;420;330;1144;438;706
2004;31;7;0;2449;1223;1226;508;308;200;818;476;342;1123;439;684
2004;32;7;0;2642;1255;1387;530;321;209;825;469;356;1287;465;822
2004;33;7;0;2679;1302;1377;491;296;195;799;472;327;1389;534;855
2004;34;7;0;2414;1132;1282;473;273;200;748;436;312;1193;423;770
2004;35;7;0;2429;1223;1206;515;310;205;753;445;308;1161;468;693
2004;36;7;0;2414;1157;1257;476;283;193;785;477;308;1153;397;756
2004;37;7;0;2459;1235;1224;513;307;206;798;482;316;1148;446;702
2004;38;7;0;2405;1154;1251;483;276;207;769;440;329;1153;438;715
2004;39;7;0;2434;1172;1262;526;291;235;781;462;319;1127;419;708
2004;40;7;0;2558;1282;1276;513;322;191;840;505;335;1205;455;750
2004;41;7;0;2438;1196;1242;481;302;179;762;455;307;1195;439;756
2004;42;7;0;2497;1218;1279;505;308;197;820;477;343;1172;433;739
2004;43;7;0;2529;1254;1275;516;311;205;802;488;314;1211;455;756
2004;44;7;0;2578;1251;1327;517;327;190;847;484;363;1214;440;774
2004;45;7;0;2517;1217;1300;493;284;209;816;483;333;1208;450;758
2004;46;7;0;2537;1237;1300;518;324;194;830;464;366;1189;449;740
2004;47;7;0;2575;1293;1282;520;317;203;860;498;362;1195;478;717
2004;48;7;0;2567;1253;1314;506;294;212;841;503;338;1220;456;764
2004;49;7;0;2619;1256;1363;484;288;196;842;509;333;1293;459;834
2004;50;7;0;2607;1256;1351;522;311;211;837;488;349;1248;457;791
2004;51;7;0;2734;1308;1426;533;321;212;847;509;338;1354;478;876
2004;52;7;0;2836;1343;1493;516;287;229;923;526;397;1397;530;867
2005;1;7;0;2871;1401;1470;462;276;186;876;532;344;1533;593;940
2005;2;7;0;2808;1356;1452;477;289;188;870;529;341;1461;538;923
2005;3;7;0;2845;1389;1456;510;297;213;868;538;330;1467;554;913
2005;4;7;0;2813;1392;1421;474;292;182;853;514;339;1486;586;900
2005;5;7;0;2906;1422;1484;550;338;212;894;527;367;1462;557;905
2005;6;7;0;3001;1490;1511;519;313;206;953;563;390;1529;614;915
2005;7;7;0;3094;1548;1546;537;323;214;949;549;400;1608;676;932
2005;8;7;0;3197;1539;1658;533;316;217;908;546;362;1756;677;1079
2005;9;7;0;3351;1615;1736;526;305;221;994;618;376;1831;692;1139
2005;10;7;0;3277;1555;1722;527;302;225;919;559;360;1831;694;1137
2005;11;7;0;3089;1416;1673;487;272;215;922;520;402;1680;624;1056
2005;12;7;0;2961;1425;1536;495;316;179;866;526;340;1600;583;1017
2005;13;7;0;2765;1321;1444;517;308;209;839;503;336;1409;510;899
2005;14;7;0;2670;1304;1366;471;287;184;807;469;338;1392;548;844
2005;15;7;0;2615;1326;1289;492;273;219;787;495;292;1336;558;778
2005;16;7;0;2566;1275;1291;501;291;210;777;482;295;1288;502;786
2005;17;7;0;2530;1256;1274;446;258;188;775;458;317;1309;540;769
2005;18;7;0;2564;1252;1312;491;297;194;766;454;312;1307;501;806
2005;19;7;0;2572;1236;1336;476;267;209;877;522;355;1219;447;772
2005;20;7;0;2574;1267;1307;469;299;170;818;503;315;1287;465;822
2005;21;7;0;2662;1259;1403;492;290;202;856;490;366;1314;479;835
